GeneSymbol	histological_type	lymphatic_invasion_present	tumor_stage	vascular_Invasion	distant_metastasis_pathologic_spread
ITLN2	1.36632651328123	0.159150134967529	-1.36192139533854	0.17934603659893	-8.76687214404039
REEP5	0.178350203446702	-3.62989503844536	-2.17628937783007	0.75635190129228	-1.10670625810077
SEC11C	-0.151926884662893	-0.706405779351134	-3.32898694860833	0.076602968660187	-1.86611949175522
NARS	1.02001306563486	-1.53351293919041	-2.12115266322578	0.346495246940731	-3.38949604263324
PSMB2	-1.0822122202077	-1.46620824006484	-1.30263035826777	0.0539551356088855	-1.76830124038646
UROD	0.252291393988853	-2.19292863625903	-2.96177038311049	1.09020162285316	-1.36839106233166
RNPS1	-2.43199835621122	-0.256739673796956	-0.269671736739654	-2.714752432555	0.530214169339459
OXCT1	0.307864636832209	-0.660959222046956	-2.16060932810032	-0.211634488631296	-2.32202066135755
PSMB8	-0.714203274060108	-1.22062820008856	-1.16895200333275	0.299955645620216	-2.19277700381155
NAA50	-0.105386502047865	-4.49145240318352	-0.299474528724779	0.420360216329382	-0.520474879505589
ACOT13	-0.285157812406609	1.32661232218455	1.71166737585309	-0.0628651436255398	5.88602336480568
CYP2S1	1.48377287435933	1.51869019813289	1.498251066868	-0.567885569214591	3.33378218218141
SFXN3	-0.179994669865128	1.85526811025093	2.28882858691974	0.0337147374317369	2.91481891831359
TBL3	-0.209146409556123	1.1264701903765	2.63524483916512	-0.511671277541772	3.80453623614647
CNBP	3.04867980460412	0.938545801968192	2.9114710889084	-0.416090291975219	0.352211460331658
STARD10	1.19594166224181	-0.0740817180294784	1.01916985224339	-0.10773031682548	4.76077704358214
HNF4A	-1.29718388280319	1.50192320343513	3.75363654360733	-3.34350329950181	6.1053589727299
NOP9	0.067709848290779	2.56769464026077	2.43416865119121	-0.391807765678405	2.01309333695873
WDR75	-0.274895526433225	0.520289983238157	2.49054390208967	-1.47417249943963	5.35424818028205
SSBP1	-1.20967722054991	2.70171298757316	3.94091909150664	-1.76831739970115	2.70759906915433
